"#";"Name";"RefDes";"Manufacturer";"Mfr Pn";"Cost"
"43";"RES SMD 10K OHM 1% 1/3W 0805";"R13";"TE Connectivity Passive Product";"CRGH0805F10K";"0.11"
"44";"RES SMD 10K OHM 1% 1/3W 0805";"R14";"TE Connectivity Passive Product";"CRGH0805F10K";"0.11"
"45";"RES SMD 10K OHM 1% 1/3W 0805";"R15";"TE Connectivity Passive Product";"CRGH0805F10K";"0.11"
"46";"RES SMD 10K OHM 1% 1/3W 0805";"R16";"TE Connectivity Passive Product";"CRGH0805F10K";"0.11"
"47";"RES SMD 10K OHM 1% 1/3W 0805";"R17";"TE Connectivity Passive Product";"CRGH0805F10K";"0.11"
"48";"RES SMD 10K OHM 1% 1/3W 0805";"R18";"TE Connectivity Passive Product";"CRGH0805F10K";"0.11"
"49";"RES SMD 10K OHM 1% 1/3W 0805";"R19";"TE Connectivity Passive Product";"CRGH0805F10K";"0.11"
"50";"RES SMD 10K OHM 1% 1/3W 0805";"R20";"TE Connectivity Passive Product";"CRGH0805F10K";"0.11"
"51";"RES SMD 10K OHM 1% 1/3W 0805";"R21";"TE Connectivity Passive Product";"CRGH0805F10K";"0.11"
"52";"JMP_0805";"R22";"";"";""
"53";"SWITCH TACTILE SPST-NO 0.01A 32V";"S1";"C&K";"KSC443G70SHLFG";"0.87"
"54";"SWITCH TACTILE SPST-NO 0.01A 32V";"S2";"C&K";"KSC443G70SHLFG";"0.87"
"55";"SWITCH SLIDE DIP SPST 100MA 20V";"S3";"CTS Electrocomponents";"219-5MST";"0.82"
"56";"TVS DIODE 3.3V 10V SOT323";"TVS1";"Diodes Incorporated";"D1213A-01W-7";"0.36"
"57";"TVS DIODE 3.3V 10V SOT323";"TVS2";"Diodes Incorporated";"D1213A-01W-7";"0.36"
"58";"TVS DIODE 3.3V 10V SOT323";"TVS3";"Diodes Incorporated";"D1213A-01W-7";"0.36"
"59";"TVS DIODE 3.3V 10V SOT323";"TVS4";"Diodes Incorporated";"D1213A-01W-7";"0.36"
"60";"TVS DIODE 3.3V 10V SOT323";"TVS5";"Diodes Incorporated";"D1213A-01W-7";"0.36"
"61";"Particle Xenon IoT Development Board";"U1";"Particle";"WRL-15070";"15"
"62";"SENS HUMID/TEMP 3.6V I2C 3% 6DFN";"U2";"Silicon Labs";"SI7021-A20-GMR";"3.06"
"63";"SENSOR PHOTO 570NM TOP VIEW 1206";"U3";"Vishay Semiconductor Opto Division";"TEMT6000X01";"1.53"
"64";"SparkFun OpenPIR";"U4";"SparkFun";"SEN-1396";"15.95"
"65";"JST Jumper 3 Wire Assembly";"U5";"SparkFun";"PRT-09915";"1.50"
"66";"Lithium Ion Battery - 2Ah";"Ux";"SparkFun";"PRT-13855";"12.95"
