"#";"Name";"RefDes";"Manufacturer";"Mfr Pn";"Cost"
"1";"CAP CER 0.1UF 100V X7R 0805";"C1";"Samsung Electro-Mechanics";"CL21B104KCFNNNE";"0.1"
"2";"CAP CER 0.1UF 100V X7R 0805";"C2";"Samsung Electro-Mechanics";"CL21B104KCFNNNE";"0.1"
"3";"LED YELLOW/GREEN CLEAR 0805 SMD";"D1";"Everlight Electronics Co Ltd";"17-21SYGC/S530-E2/TR8";"0.29"
"4";"LED YELLOW/GREEN CLEAR 0805 SMD";"D2";"Everlight Electronics Co Ltd";"17-21SYGC/S530-E2/TR8";"0.29"
"5";"LED YELLOW/GREEN CLEAR 0805 SMD";"D3";"Everlight Electronics Co Ltd";"17-21SYGC/S530-E2/TR8";"0.29"
"6";"LED YELLOW/GREEN CLEAR 0805 SMD";"D4";"Everlight Electronics Co Ltd";"17-21SYGC/S530-E2/TR8";"0.29"
"7";"LED ORANGE-RED 0805 SMD";"D5";"Dialight";"5990120007F";"0.38"
"8";"LED ORANGE-RED 0805 SMD";"D6";"Dialight";"5990120007F";"0.38"
"9";"S1012EC-03-ND";"J1";"Sullins Connector Solutions";"PREC003SAAN-RC";"0.09"
"10";"S1012EC-03-ND";"J2";"Sullins Connector Solutions";"PREC003SAAN-RC";"0.09"
"11";"CONN RCPT USB2.0 MICRO B SMD R/A";"J3";"TE Connectivity";"1981568-1";"1.86"
"12";"CONN HEADER VERT 3POS 2MM";"J4";"JST Sales America Inc.";"B3B-PH-K-S(LF)(SN)";"0.19"
"13";"S1012EC-03-ND";"J5";"Sullins Connector Solutions";"PREC003SAAN-RC";"0.09"
"14";"TERM BLOCK HDR 3POS 90DEG 3.81MM BLACK";"J6";"Molex";"0395121003";"1.03"
"15";"TERM BLOCK PLUG 3POS STR 3.81MM BLACK";"J7";"Molex";"0395100003";"1.25"
"16";"S1012EC-03-ND";"J8";"Sullins Connector Solutions";"PREC003SAAN-RC";"0.09"
"17";"S1012EC-03-ND";"J9";"Sullins Connector Solutions";"PREC003SAAN-RC";"0.09"
"18";"TERM BLOCK HDR 4POS 90DEG 3.81MM BLACK";"J10";"Molex";"0395121004";"1.41"
"19";"S1012EC-03-ND";"J11";"Sullins Connector Solutions";"PREC003SAAN-RC";"0.09"
"20";"S1012EC-03-ND";"J12";"Sullins Connector Solutions";"PREC003SAAN-RC";"0.09"
